provider_name,provider_slug,total_games,images_downloaded,images_missing,completion_rate,unique_categories,unique_themes
Pragmatic Play,,210,0,210,0.0%,0,0
Evolution,,167,0,167,0.0%,0,0
Hacksaw Gaming,,103,0,103,0.0%,0,0
3 Oaks Gaming,,52,0,52,0.0%,0,0
Endorphina,,52,0,52,0.0%,0,0
BGaming,,49,0,49,0.0%,0,0
Nolimit City,,44,0,44,0.0%,0,0
Octoplay,,42,0,42,0.0%,0,0
Big Time Gaming,,41,0,41,0.0%,0,0
Blueprint,,41,0,41,0.0%,0,0
PG Soft,,41,0,41,0.0%,0,0
Play'n Go,,41,0,41,0.0%,0,0
AvatarUX,,40,0,40,0.0%,0,0
Belatra,,40,0,40,0.0%,0,0
Games Global,,40,0,40,0.0%,0,0
ELK Studios,,40,0,40,0.0%,0,0
Playson,,40,0,40,0.0%,0,0
VoltEnt,,40,0,40,0.0%,0,0
Relax Gaming,,40,0,40,0.0%,0,0
Netent,,40,0,40,0.0%,0,0
Red Rake Gaming,,40,0,40,0.0%,0,0
Red Tiger,,40,0,40,0.0%,0,0
Popiplay,,40,0,40,0.0%,0,0
GameArt,,39,0,39,0.0%,0,0
Gamomat,,39,0,39,0.0%,0,0
Novomatic,,39,0,39,0.0%,0,0
Push Gaming,,39,0,39,0.0%,0,0
Quickspin,,39,0,39,0.0%,0,0
Spinomenal,,39,0,39,0.0%,0,0
Thunderkick,,39,0,39,0.0%,0,0
Slotmill,,37,0,37,0.0%,0,0
OneTouch,,36,0,36,0.0%,0,0
Peter & Sons,,35,0,35,0.0%,0,0
Stake Originals,,34,0,34,0.0%,0,0
Massive Studios,,33,0,33,0.0%,0,0
Backseat Gaming,,32,0,32,0.0%,0,0
Twist Gaming,,30,0,30,0.0%,0,0
Titan Gaming,,27,0,27,0.0%,0,0
Fantasma Games,,26,0,26,0.0%,0,0
Paperclip Gaming,,24,0,24,0.0%,0,0
Skywind,,24,0,24,0.0%,0,0
Print Studios,,23,0,23,0.0%,0,0
Bullshark Games,,20,0,20,0.0%,0,0
Live88,,16,0,16,0.0%,0,0
Fat Panda,,16,0,16,0.0%,0,0
Hacksaw OpenRGS,,9,0,9,0.0%,0,0
18 Gaming,,9,0,9,0.0%,0,0
Mirror Image Gaming,,7,0,7,0.0%,0,0
Shady Lady,,5,0,5,0.0%,0,0
Just Slots,,4,0,4,0.0%,0,0
MadLab Gaming,,2,0,2,0.0%,0,0
Rubber Duck Gaming,,2,0,2,0.0%,0,0
Paradice Gaming,,2,0,2,0.0%,0,0
Drip Drop Studios,,2,0,2,0.0%,0,0
Atomic Gaming,,1,0,1,0.0%,0,0
Stake Poker,,1,0,1,0.0%,0,0
